Distance[um],dz[um],Mag_Ey_um,Mag_Ey_um
0.969697,1.52,0.0868168,0.408586
0.989899,1.52,0.0964725,0.474818
1.0101,1.52,0.163242,0.623064
1.0303,1.52,0.264931,0.816968
1.05051,1.52,0.377833,1.02701
1.07071,1.52,0.652018,1.4988
1.09091,1.52,0.706,1.64536
1.11111,1.52,0.76,1.78372
1.13131,1.52,0.67938,1.71086
1.15152,1.52,0.64825,1.73767
1.17172,1.52,0.627641,1.75179
1.19192,1.52,0.621612,1.75356
1.21212,1.52,0.565143,1.8076
1.23232,1.52,0.561172,1.75216
1.25253,1.52,0.546447,1.67082
1.27273,1.52,0.618386,1.62813
1.29293,1.52,0.692943,1.56608
1.31313,1.52,0.767517,1.49124
1.33333,1.52,0.706993,1.16887
1.35354,1.52,0.80916,1.10376
1.37374,1.52,0.910726,1.04371
1.39394,1.52,1.00915,0.991321
1.41414,1.52,1.10262,0.949016
1.43434,1.52,1.19004,0.919095
1.45455,1.52,1.27103,0.903712
1.47475,1.52,1.34594,0.904879
1.49495,1.52,1.41585,0.924464
1.51515,1.52,1.48255,0.964196
1.53535,1.52,1.54856,1.02566
1.55556,1.52,1.65465,1.23936
1.57576,1.52,1.6857,1.35137
1.59596,1.52,1.71447,1.47062
1.61616,1.52,1.74165,1.59439
1.63636,1.52,1.76802,1.71982
1.65657,1.52,1.55774,1.42896
1.67677,1.52,1.53106,1.43479
1.69697,1.52,1.49937,1.43535
1.71717,1.52,1.46105,1.42945
1.73737,1.52,1.41526,1.41625
1.75758,1.52,1.36198,1.39519
1.77778,1.52,1.30194,1.36606
1.79798,1.52,1.23667,1.32896
1.81818,1.52,1.16851,1.28431
1.83838,1.52,1.10057,1.23283
1.85859,1.52,1.03673,1.1756
1.87879,1.52,0.981704,1.11397
1.89899,1.52,0.564086,0.517945
1.91919,1.52,0.462724,0.429283
1.93939,1.52,0.355719,0.333158
1.9596,1.52,0.242986,0.229567
1.9798,1.52,0.12444,0.118513
2,1.52,0,0
0,1.54,0,0
0.020202,1.54,0.0517148,0.0999296
0.040404,1.54,0.102808,0.195176
0.0606061,1.54,0.647305,0.769021
0.0808081,1.54,0.668078,0.805445
0.10101,1.54,0.690117,0.840578
0.121212,1.54,0.71308,0.873767
0.141414,1.54,0.736655,0.904412
0.161616,1.54,1.17503,1.21838
0.181818,1.54,1.22209,1.24158
0.20202,1.54,1.2665,1.25792
0.222222,1.54,1.3067,1.26723
0.242424,1.54,1.34141,1.26941
0.262626,1.54,1.36962,1.26446
0.282828,1.54,1.39059,1.25247
0.30303,1.54,1.40382,1.23358
0.323232,1.54,1.40912,1.20806
0.343434,1.54,1.40653,1.17622
0.363636,1.54,1.39637,1.13848
0.383838,1.54,1.37923,1.09534
0.40404,1.54,1.35597,1.04739
0.424242,1.54,1.28405,0.972112
0.444444,1.54,1.18189,0.843238
0.464646,1.54,1.08669,0.736621
0.484848,1.54,0.997709,0.652208
0.505051,1.54,0.914398,0.589772
0.525253,1.54,0.836373,0.548909
0.545455,1.54,0.763423,0.529037
0.565657,1.54,0.695514,0.5294
0.585859,1.54,0.632782,0.549063
